attempt_id,timestamp_utc,lead_id,rep_id,rep_role,contact_channel,industry,lead_tier,lead_score,outcome,duration_seconds,lead_timezone,notes
1,2024-01-08 09:05:00,L001,R01,Warmer,call,SaaS,1,82,answered,240,Asia/Karachi,
2,2024-01-08 09:30:00,L002,R02,Warmer,email,Healthcare,2,65,no_reply,0,America/New_York,
3,2024-01-08 10:15:00,L003,R01,Warmer,call,Retail,3,41,voicemail,0,Europe/London,
4,2024-01-08 11:00:00,L004,R03,Closer,call,SaaS,1,90,meeting_booked,420,Asia/Karachi,
5,2024-01-08 13:30:00,L005,R02,Warmer,call,Finance,2,71,answered,180,America/Chicago,
6,2024-01-08 14:00:00,L006,R04,Closer,call,Healthcare,1,88,meeting_booked,510,America/New_York,
7,2024-01-08 15:45:00,L007,R01,Warmer,email,Logistics,3,38,no_reply,0,Europe/Berlin,
8,2024-01-08 16:20:00,L008,R03,Closer,call,Finance,2,76,answered,300,America/New_York,
9,2024-01-09 08:00:00,L009,R02,Warmer,call,SaaS,2,68,voicemail,0,America/Los_Angeles,
10,2024-01-09 09:10:00,L010,R04,Closer,call,Retail,1,85,meeting_booked,390,America/Chicago,
11,2024-01-09 10:30:00,L001,R01,Warmer,call,SaaS,1,82,answered,260,Asia/Karachi,
12,2024-01-09 11:15:00,L011,R02,Warmer,email,Healthcare,3,44,no_reply,0,Europe/London,
13,2024-01-09 13:00:00,L012,R03,Closer,call,Logistics,2,73,answered,330,America/New_York,
14,2024-01-09 14:30:00,L013,R01,Warmer,call,Finance,1,91,meeting_booked,480,Asia/Karachi,
15,2024-01-09 16:00:00,L014,R04,Closer,call,SaaS,2,69,voicemail,0,America/Chicago,
16,2024-01-10 08:30:00,L015,R02,Warmer,call,Retail,3,35,no_reply,0,America/Los_Angeles,
17,2024-01-10 09:45:00,L016,R03,Closer,call,Healthcare,1,87,meeting_booked,450,America/New_York,
18,2024-01-10 11:00:00,L017,R01,Warmer,email,SaaS,2,62,no_reply,0,Europe/Berlin,
19,2024-01-10 12:30:00,L018,R04,Closer,call,Finance,1,93,meeting_booked,540,Asia/Karachi,
20,2024-01-10 14:00:00,L019,R02,Warmer,call,Logistics,3,39,voicemail,0,America/Chicago,
